id,itemId,classFamily,classType,dependentId,createdAt,updatedAt
4663236,355237692,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663237,355237693,asynchronous,batch,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663238,355237694,controller,lwc controller,355248732,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663239,355237694,controller,lwc controller,355249746,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663240,355237696,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663241,355237697,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663242,355237698,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663243,355237703,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663244,355237704,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663245,355237705,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663246,355237708,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663247,355237709,controller,lwc controller,355249753,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663248,355237712,controller,lightning data transfer object,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663249,355237713,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663250,355237714,controller,lwc controller,355248735,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663251,355237715,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663252,355237716,controller,page controller,355256791,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663253,355237716,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663254,355237717,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663255,355237718,controller,page controller,355256792,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663256,355237881,controller,page controller,355256793,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663257,355237882,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663258,355237883,controller,page controller,355256794,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663259,355237884,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663260,355237885,controller,page controller,355256796,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663261,355237886,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663262,355237887,controller,page controller,355256795,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663263,355237888,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663264,355237889,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663265,355237890,controller,lightning data transfer object,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663266,355237894,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663267,355237900,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663268,355237904,controller,lwc controller,355248340,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663269,355237904,controller,lwc controller,355248344,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663270,355237905,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663271,355237908,controller,lightning data transfer object,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663272,355237909,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663273,355237910,controller,lightning data transfer object,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663274,355237911,controller,page controller,355256800,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663275,355237911,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663276,355237912,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663277,355237914,controller,lightning data transfer object,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663278,355237916,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663279,355237921,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663280,355237923,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663281,355237924,controller,lightning data transfer object,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663282,355237925,controller,aura controller,355237613,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663283,355237926,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663284,355237927,controller,aura controller,355237625,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663285,355237928,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663286,355237929,controller,aura controller,355237673,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663287,355237930,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663288,355237932,asynchronous,batch,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663289,355237934,asynchronous,batch,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663290,355237939,asynchronous,queueable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663291,355237940,asynchronous,queueable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
