parentName,metadataName,scanName,label,id,parentId,ultimateParentId,metadataId,name,isDirectory,typeDirectory,nameWithoutExtension,relatedObject,extensionWithXML,extension,directory,path,relativePath,createdAt,updatedAt
null,11855,12909,Home_AuthRedir,355236685,,,11855,Home_AuthRedir,true,aura,Home_AuthRedir,,.Home_AuthRedir,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_AuthRedir,aura/Home_AuthRedir,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
null,11855,12909,Home_Billboard,355236686,,,11855,Home_Billboard,true,aura,Home_Billboard,,.Home_Billboard,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_Billboard,aura/Home_Billboard,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
355246770,11855,12909,logger.js,355248724,355246770,355246770,11855,logger.js,false,lwc,logger,,.js,.js,/node/app/metadata/mburnside@dxdo2023.demo/lwc/logger,/node/app/metadata/mburnside@dxdo2023.demo/lwc/logger/logger.js,lwc/logger/logger.js,2026-05-04T00:41:49.645Z,2026-05-04T00:41:49.645Z
null,11855,12909,Home_BotCenterBox,355236687,,,11855,Home_BotCenterBox,true,aura,Home_BotCenterBox,,.Home_BotCenterBox,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_BotCenterBox,aura/Home_BotCenterBox,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
null,11855,12909,Home_BotLeftBox,355236688,,,11855,Home_BotLeftBox,true,aura,Home_BotLeftBox,,.Home_BotLeftBox,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_BotLeftBox,aura/Home_BotLeftBox,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
null,11855,12909,Home_CenterBox,355236689,,,11855,Home_CenterBox,true,aura,Home_CenterBox,,.Home_CenterBox,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_CenterBox,aura/Home_CenterBox,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
null,11855,12909,Home_LeftBox,355236690,,,11855,Home_LeftBox,true,aura,Home_LeftBox,,.Home_LeftBox,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_LeftBox,aura/Home_LeftBox,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
null,11855,12909,Home_NumberMetricsRow,355236691,,,11855,Home_NumberMetricsRow,true,aura,Home_NumberMetricsRow,,.Home_NumberMetricsRow,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_NumberMetricsRow,aura/Home_NumberMetricsRow,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
null,11855,12909,Home_RightBox,355236692,,,11855,Home_RightBox,true,aura,Home_RightBox,,.Home_RightBox,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_RightBox,aura/Home_RightBox,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
null,11855,12909,Home_ScanHealth,355236693,,,11855,Home_ScanHealth,true,aura,Home_ScanHealth,,.Home_ScanHealth,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_ScanHealth,aura/Home_ScanHealth,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
null,11855,12909,Home_SettingsMain,355236694,,,11855,Home_SettingsMain,true,aura,Home_SettingsMain,,.Home_SettingsMain,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_SettingsMain,aura/Home_SettingsMain,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
null,11855,12909,Home_Wrapper,355236695,,,11855,Home_Wrapper,true,aura,Home_Wrapper,,.Home_Wrapper,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Home_Wrapper,aura/Home_Wrapper,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
null,11855,12909,Job_ListWrapper,355236696,,,11855,Job_ListWrapper,true,aura,Job_ListWrapper,,.Job_ListWrapper,,/node/app/metadata/mburnside@dxdo2023.demo/aura,/node/app/metadata/mburnside@dxdo2023.demo/aura/Job_ListWrapper,aura/Job_ListWrapper,2026-05-04T00:41:45.569Z,2026-05-04T00:41:45.569Z
